point_code,point_description,latitude,longitude,elev,ortho_ht,UTM Zone,UTM Easting,UTM Northing,site_name,deployable,deployment_issue,difficulty_rating,updated_by,update_datetime,Notes,Region,Transect,Transect meters,utm_E,utm_N,utm_zone,utm_letter
del1000,,41.2294,-75.4764,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460073.2054140446,4564332.548499896,18.0,T
del1001,,41.23,-75.4686,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460727.27968811063,4564395.604009122,18.0,T
del1002,,41.2372,-75.4706,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460563.9893000254,4565195.813892876,18.0,T
del1003,,41.2168,-75.4593,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,461498.96072808193,4562926.055700589,18.0,T
del1004,,41.2225,-75.478,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,459934.8983536107,4563567.285445039,18.0,T
del1005,,41.2233,-75.4754,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460153.3119724003,4563654.902018756,18.0,T
del1006,,41.2261,-75.4777,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,459962.2398068096,4563966.798859421,18.0,T
del1007,,41.2273,-75.4748,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460206.02757543646,4564098.684607607,18.0,T
del1008,,41.2263,-75.4726,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460389.8112022636,4563986.665528213,18.0,T
del1009,,41.2195,-75.4783,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,459907.920708876,4563234.3809065055,18.0,T
del1010,,41.2212,-75.4693,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460663.33994394966,4563418.994249999,18.0,T
del1011,,41.2209,-75.4499,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462289.27744967246,4563377.094292743,18.0,T
del1012,,41.2156,-75.4522,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462093.4304622591,4562789.7193180835,18.0,T
del1013,,41.2201,-75.4581,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,461601.4816815687,4563291.871868123,18.0,T
del1014,,41.2175,-75.4565,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,461734.08069065143,4563002.52960896,18.0,T
del1015,,41.2245,-75.4635,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,461151.44958077586,4563782.733503652,18.0,T
del1016,,41.2075,-75.4494,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462323.49981291883,4561889.288817659,18.0,T
del1017,,41.2131,-75.4631,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,461178.23549157416,4562516.992948708,18.0,T
del1018,,41.2124,-75.4475,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462485.59030263504,4562432.436043945,18.0,T
del1019,,41.2124,-75.4475,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462485.59030263504,4562432.436043945,18.0,T
del1020,,41.2149,-75.4484,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462411.5732178153,4562710.3598684715,18.0,T
del1021,,41.2099,-75.4487,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462383.56074605585,4562155.419348987,18.0,T
del1022,,41.2112,-75.4527,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,462048.97397405404,4562301.475470033,18.0,T
del1023,,41.2077,-75.4542,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,461921.19541507046,4561913.58214998,18.0,T
del1024,,41.2133,-75.4703,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460574.776345597,4562542.435085862,18.0,T
del1024a,moved point from appl2022 fieldwork,41.21336,-75.4695,,,,,,,,,,Pat Lyon,20230710,,,,,460641.8764660676,4562548.733540165,18.0,T
del1025,,41.2342,-75.4834,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,459489.5010932822,4564868.656734691,18.0,T
del1026,,41.243,-75.4769,,,,,,Goulds SP,,,,Chapin Czarnecki,,,,,,460039.58435058553,4565842.576348377,18.0,T
del1027,,41.2158,-75.4451,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,462688.71742960496,4562808.851327401,18.0,T
del1028,,41.2332,-75.3896,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,467349.76797944086,4564718.168344351,18.0,T
del1029,,41.2487,-75.3717,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,468857.23040642857,4566432.323409815,18.0,T
del1030,,41.2253,-75.3885,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,467438.0337579631,4563840.743109856,18.0,T
del1031,,41.2158,-75.3842,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,467793.7770307542,4562784.507715754,18.0,T
del1032,,41.2284,-75.4183,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,464942.00928439543,4564196.476632389,18.0,T
del1033,,41.2132,-75.442,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,462947.11389917904,4562518.889195122,18.0,T
del1034,,41.2175,-75.441,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,463033.3651241455,4562995.82417028,18.0,T
del1035,,41.2223,-75.3788,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,468249.58579172037,4563504.113041185,18.0,T
del1036,,41.2361,-75.4139,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,465314.847107678,4565049.522153145,18.0,T
del1037,,41.2256,-75.439,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,463205.55496729334,4563894.190884228,18.0,T
del1038,,41.2351,-75.4188,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,464903.6873141511,4564940.474615721,18.0,T
del1039,,41.2253,-75.4355,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,463498.7386838034,4563859.411219068,18.0,T
del1040,,41.2219,-75.4028,,,,,,Toby SP,,,,Chapin Czarnecki,,,,,,466237.733899669,4563468.749372526,18.0,T
