,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
108,2021,RK606_4,,,,,,,,,,,,,SL,
108,2022,RK606_4,,,,,,,,,,,,,SL,
108,2023,RK606_4,,,,,,,,,,,,,SL,
108,2024,RK606_4,1,1,,1,,1,1,,,,,,SL,
109,2021,RK606_5,,,,,,,,,,,,,SL,
109,2022,RK606_5,,,,,,,,,,,,,SL,
109,2023,RK606_5,1,1,1,1,1,1,1,1,1,1,1,1,SL,
109,2024,RK606_5,,,,,,,,,,,,,SL,
110,2021,RK606_7,,1,1,,1,1,1,1,1,1,,1,SL,
110,2022,RK606_7,1,1,1,1,,1,1,1,1,1,1,1,SL,
110,2023,RK606_7,1,1,1,1,1,1,1,1,1,1,1,1,SL,
110,2024,RK606_7,1,1,1,1,1,,1,1,1,1,1,,SL,
111,2021,RK606_8,,,,,,,,,,,,,SL,
111,2022,RK606_8,,,,,,,,,,,,,SL,
111,2023,RK606_8,,,,,,,,,,,,,SL,
111,2024,RK606_8,,1,,,1,1,1,1,1,1,1,1,SL,
112,2021,RK607_1,,,,,,,,,,,,,SL,
112,2022,RK607_1,,,,,,,,,,,,,SL,
112,2023,RK607_1,,,1,1,1,1,,1,1,1,1,1,SL,
112,2024,RK607_1,,,,,,,,,,,,,SL,
113,2021,RK607_2,,,,,,,,1,,,,,SL,
113,2022,RK607_2,1,,1,,,,,1,1,,,1,SL,
113,2023,RK607_2,1,1,1,1,1,1,1,1,1,1,1,1,SL,
113,2024,RK607_2,,,,,,,,,,,,,SL,
114,2021,RK607_3,,,,,,,,,,,,,SL,
114,2022,RK607_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
114,2023,RK607_3,,,,,,,,,,,,,SL,
114,2024,RK607_3,,,,,,,,1,,,,,SL,
115,2021,RK607_5,1,1,1,1,1,1,1,1,1,1,1,1,SL,
115,2022,RK607_5,1,1,1,1,1,1,1,1,1,1,1,1,SL,
115,2023,RK607_5,,,,,,,,,,,,,SL,
115,2024,RK607_5,,,,,1,,,,,,,,SL,
116,2021,RK607_6,1,1,1,1,1,1,1,1,1,1,1,1,SL,
116,2022,RK607_6,,,,,,,,,,,,,SL,
116,2023,RK607_6,,,,,,,,,,,,,SL,
116,2024,RK607_6,,,,,,,,,,,,,SL,
117,2021,RK607_7,,,,,,,,,,,,,SL,
117,2022,RK607_7,,,1,,,,1,,,,,,SL,
117,2023,RK607_7,1,1,1,1,1,1,1,1,1,1,1,1,SL,
117,2024,RK607_7,1,1,1,1,1,1,1,1,1,1,1,1,SL,
118,2021,RK609_0,1,1,,1,,1,1,1,1,1,1,1,SL,
118,2022,RK609_0,,1,1,1,1,1,1,1,1,1,1,1,SL,
118,2023,RK609_0,,1,,1,1,1,1,1,1,1,1,,SL,
118,2024,RK609_0,,1,1,1,1,1,,1,1,1,1,,SL,
119,2021,RK609_1,,,,,,,1,,,,1,1,SL,
119,2022,RK609_1,1,,1,,,1,1,1,1,1,1,,SL,
119,2023,RK609_1,,1,1,1,1,1,1,1,1,1,1,1,SL,
119,2024,RK609_1,,,,,,1,,,,1,,1,SL,
120,2021,RK609_3,,,,,,,,,,,,,SL,
120,2022,RK609_3,1,1,,1,,,,,,1,1,1,SL,
120,2023,RK609_3,,,,,,,,,,,,,SL,
120,2024,RK609_3,,,,,,,,,,,,,SL,
121,2021,RK610_0,1,1,,,1,1,1,1,1,,,,SL,
121,2022,RK610_0,,,,,,,,,,,,,SL,
121,2023,RK610_0,,,,,,,,,,,,,SL,
121,2024,RK610_0,,,,,,,,,,,,,SL,
122,2021,RK610_1,1,,,1,1,1,1,1,1,1,1,1,SL,
122,2022,RK610_1,,,,,,,1,1,,,1,1,SL,
122,2023,RK610_1,,,,,,,,,,,,,SL,
122,2024,RK610_1,,,,,,,,,,,,,SL,
123,2021,RK611_0,,1,1,1,1,1,,1,1,1,1,1,SL,
123,2022,RK611_0,,,,,,,,,,,,,SL,
123,2023,RK611_0,,,,,,,,,,,,,SL,
123,2024,RK611_0,,,,,,,,,,,,,SL,
124,2021,RK611_1,1,1,1,1,1,1,,1,,,,,SL,
124,2022,RK611_1,,,,,,,,,,,,,SL,
124,2023,RK611_1,,,,,,,,,,,,,SL,
124,2024,RK611_1,,,,,,,,,,,,,SL,
125,2021,RK611_10,,,,,,,,,,,,,SL,
125,2022,RK611_10,1,1,1,1,1,,,,1,,,1,SL,
125,2023,RK611_10,,,,,,,,,,,,,SL,
125,2024,RK611_10,,,,,,,,,,,,,SL,
126,2021,RK611_3,1,,1,,,1,,1,1,1,1,,SL,
126,2022,RK611_3,,,,,,,,,,,,,SL,
126,2023,RK611_3,,,,,,,,,,,,,SL,
126,2024,RK611_3,,,,,,,,,,,,,SL,
127,2021,RK611_5,,1,,,,,,,,1,,,SL,
127,2022,RK611_5,,,,1,,1,,1,,1,1,,SL,
127,2023,RK611_5,1,1,1,1,1,1,,1,1,1,1,1,SL,
127,2024,RK611_5,1,,1,,1,,1,,,1,,,SL,
128,2021,RK611_6,,,,,,,,,,,,,SL,
128,2022,RK611_6,,,,,,,1,1,1,1,1,1,SL,
128,2023,RK611_6,,,,,,,,,,,,,SL,
128,2024,RK611_6,,,,,,,,,,,,,SL,
129,2021,RK611_7,,,,,,,,,,,,,SL,
129,2022,RK611_7,1,1,1,1,1,1,1,1,1,1,1,1,SL,
129,2023,RK611_7,,,,,,,,,,,,,SL,
129,2024,RK611_7,,,,,,,,,,,,,SL,
130,2021,RK611_8,,,,,,,,,,,,,SL,
130,2022,RK611_8,1,,1,1,1,1,1,1,1,1,1,1,SL,
130,2023,RK611_8,1,1,1,,1,1,1,1,1,1,1,1,SL,
130,2024,RK611_8,,1,,1,1,1,1,1,1,1,1,,SL,
131,2021,RK611_9,,,,,,,,,,,,,SL,
131,2022,RK611_9,1,,1,1,1,1,,1,1,1,1,1,SL,
131,2023,RK611_9,,,,,,,,,,,,,SL,
131,2024,RK611_9,,,1,,,,1,,,,,,SL,
132,2021,RK614_0,,,,,,,,,,,,,SL,
132,2022,RK614_0,,,,,,,,,,1,1,1,SL,
132,2023,RK614_0,,,,,,,,,,,,,SL,
132,2024,RK614_0,,,,,,,,,,,,,SL,
133,2021,RK614_1,1,1,1,1,1,1,,1,,1,1,1,SL,
133,2022,RK614_1,,,,,,,,,,,,,SL,
133,2023,RK614_1,,,,,,,,,,,,,SL,
133,2024,RK614_1,,,,,,,,,,,,,SL,
134,2021,RK614_2,,,,,,,,,,,,,SL,
134,2022,RK614_2,,,,,,,,,,,,,SL,
134,2023,RK614_2,1,1,,1,1,,,,,,1,,SL,
134,2024,RK614_2,,,1,,,1,1,,,,,,SL,
135,2021,RK614_3,1,1,1,1,1,1,1,1,1,,1,,SL,
135,2022,RK614_3,1,1,1,1,1,1,1,1,1,1,,1,SL,
135,2023,RK614_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
135,2024,RK614_3,,1,1,1,1,1,,1,1,1,1,,SL,
136,2021,RK614_4,,,,,,1,,,,,1,,SL,
136,2022,RK614_4,1,1,1,1,1,1,1,,1,1,1,1,SL,
136,2023,RK614_4,,,1,1,,1,,,1,,,,SL,
136,2024,RK614_4,1,1,1,1,1,1,1,1,1,1,1,,SL,
137,2021,RK615_0,1,1,1,1,1,1,1,1,1,1,,1,SL,
137,2022,RK615_0,,,,,,,,,,,,,SL,
137,2023,RK615_0,,,,,,,,,,,,,SL,
137,2024,RK615_0,,,,,,,,,,,,,SL,
138,2021,RK615_10,1,1,1,1,1,1,1,1,1,1,1,1,SL,
138,2022,RK615_10,,,,,1,,1,,,1,1,,SL,
138,2023,RK615_10,1,1,1,1,1,1,1,1,1,1,1,1,SL,
138,2024,RK615_10,1,1,1,,1,1,1,1,1,1,1,1,SL,
139,2021,RK615_3,,,,,,,,,,,,,CC,
139,2022,RK615_3,,1,1,1,1,1,1,1,1,,,,CC,
139,2023,RK615_3,,,,1,1,1,1,,,,,,CC,05/24 may have a positive also but too faint to be sure
139,2024,RK615_3,,1,,,,,,,,,,,CC,
140,2021,RK615_5,,,,,,,,,,,,,CC,
140,2022,RK615_5,,,,,,,,,,,,,CC,05/18 is different bird. 05/20 too faint to say
140,2023,RK615_5,1,1,1,1,1,1,1,1,1,1,1,1,CC,
140,2024,RK615_5,,,,,,,,,,,,,CC,
141,2021,RK615_7,,,,,,,,,,,,,CC,
141,2022,RK615_7,,,,,,,,,,,,,CC,
141,2023,RK615_7,,,,,,,,,,,,,CC,
141,2024,RK615_7,1,1,1,1,1,1,1,1,1,1,1,1,CC,
142,2021,RK616_0,,,,1,1,1,1,1,1,1,1,1,CC,
142,2022,RK616_0,,,,,,,,,,,,,CC,
142,2023,RK616_0,,,,,,,,,,,,,CC,
142,2024,RK616_0,,,,,,,,,,,,,CC,
143,2021,RK616_1,1,1,1,,,,,,,,,,CC,
143,2022,RK616_1,,,,,,,,,,,,,CC,
143,2023,RK616_1,,,,,,,,,,,,,CC,
143,2024,RK616_1,,,,,,,,,,,,,CC,
144,2021,RK616_2,,,,,,,,,,,,,CC,
144,2022,RK616_2,1,,,,1,1,1,1,1,1,1,,CC,
144,2023,RK616_2,,,,,,,,,,1,,1,CC,
144,2024,RK616_2,,,,,,,,,,,,,CC,
145,2021,RK616_3,,,,,,,,,,,,,CC,
145,2022,RK616_3,,,,,,,,,,,,,CC,05/15 looks like a different bird
145,2023,RK616_3,,,,,,,,,,,,,CC,
145,2024,RK616_3,,,1,,1,1,1,1,,1,1,1,CC,
146,2021,RK616_4,1,,1,1,1,1,1,1,,,,1,CC,
146,2022,RK616_4,1,1,1,1,1,1,1,1,1,1,1,1,CC,
146,2023,RK616_4,1,1,1,1,1,1,1,1,1,1,1,1,CC,
146,2024,RK616_4,,1,,,1,,,,,,,,CC,
147,2021,RK616_5,,1,,1,,1,1,1,1,,,1,CC,
147,2022,RK616_5,1,,1,1,1,1,1,1,1,1,1,1,CC,
147,2023,RK616_5,1,1,1,1,1,1,1,,1,1,1,1,CC,
147,2024,RK616_5,1,1,1,,1,1,,1,1,1,1,,CC,
148,2021,RK621_0,,,,,,,,,,,,,CC,
148,2022,RK621_0,,,,,,,,,,,,,CC,
148,2023,RK621_0,1,1,1,1,1,1,1,1,,,,,CC,
148,2024,RK621_0,,,,,,,,,,,1,,CC,
149,2021,RK621_1,,,,,,,,,,,,,CC,
149,2022,RK621_1,,,,,,,,,,,,,CC,
149,2023,RK621_1,,,,,,,,,,,,,CC,
149,2024,RK621_1,1,1,1,1,1,1,1,1,1,1,1,1,CC,
150,2021,RK621_2,1,1,1,1,1,1,1,,1,1,1,1,CC,
150,2022,RK621_2,,,,,,,,,,,,,CC,
150,2023,RK621_2,,,,,,,,,,,,,CC,
150,2024,RK621_2,,,,,,,,,,,,,CC,
151,2021,RK621_3,,,,,,,,,,1,1,1,CC,
151,2022,RK621_3,1,1,1,1,1,1,1,1,1,1,1,1,CC,
151,2023,RK621_3,,,,,,,,,,,,,CC,05/22 may be a different bird
151,2024,RK621_3,,,,,,,,,,,,,CC,
152,2021,RK621_5,,,,,,,,,,,,,CC,
152,2022,RK621_5,,1,1,1,1,1,1,1,1,1,1,1,CC,
152,2023,RK621_5,,,,,,,,,,,,,CC,
152,2024,RK621_5,,,,,,,,,,,,,CC,
153,2021,RK622_0,1,1,1,1,1,,1,,,,,,CC,
153,2022,RK622_0,,1,,1,,,,,,,,,CC,
153,2023,RK622_0,,,,,,,,,,,,,CC,
153,2024,RK622_0,,,,,,,,,,,,,CC,
154,2021,RK622_1,,1,1,1,1,1,,,,,,1,CC,
154,2022,RK622_1,,,,,,,,,,,1,,CC,05/22 not the same bird
154,2023,RK622_1,,,,,,,,,,,,,CC,
154,2024,RK622_1,,,,,,,,,,,,,CC,
155,2021,RK661_0,1,1,1,1,1,1,1,1,1,1,1,1,CC,
155,2022,RK661_0,1,1,1,1,1,1,1,1,1,,1,1,CC,
155,2023,RK661_0,,1,,,1,1,1,1,1,1,1,1,CC,
155,2024,RK661_0,1,1,1,1,1,1,1,1,1,1,,,CC,
156,2021,RK661_3,,,,,,,,1,,,,,CC,
156,2022,RK661_3,1,1,1,1,1,1,1,1,1,1,1,1,CC,
156,2023,RK661_3,1,,1,1,1,1,1,1,1,1,1,1,CC,
156,2024,RK661_3,1,1,1,1,1,1,1,1,1,1,1,1,CC,
157,2021,RK683_0,1,1,1,1,,,,1,1,1,,1,CC,
157,2022,RK683_0,,,1,,1,1,1,1,1,1,1,1,CC,
157,2023,RK683_0,,1,1,1,1,1,1,1,1,1,1,1,CC,
157,2024,RK683_0,1,,,,1,,,,,,,,CC,
158,2021,RK683_1,,1,,,1,,1,,,1,,1,CC,
158,2022,RK683_1,,,1,1,1,,1,1,1,,1,,CC,
158,2023,RK683_1,,,,,,,,,,,,,CC,
158,2024,RK683_1,,,,,,,,,,,,,CC,
159,2021,RK683_3,,,,,,,,,,,,,CC,
159,2022,RK683_3,,,,,,,,,,,,,CC,
159,2023,RK683_3,1,1,1,1,1,1,1,,1,,1,1,CC,
159,2024,RK683_3,1,1,1,1,1,1,1,1,1,1,1,1,CC,
160,2021,RK684_0,1,1,1,1,1,1,1,1,1,1,1,1,CC,
160,2022,RK684_0,,,,,,,,,,,,,CC,
160,2023,RK684_0,,,,,,,,,,,,,CC,
160,2024,RK684_0,,,,,,,,,,,,,CC,
161,2021,RK684_2,,,,,,,,,,,,,CC,
161,2022,RK684_2,1,1,1,1,1,1,1,1,1,1,1,1,CC,
161,2023,RK684_2,1,1,1,1,1,1,1,1,1,1,1,1,CC,
161,2024,RK684_2,1,1,1,1,1,1,1,1,1,1,1,1,CC,
162,2021,RK685_0,,,,,,,,,,1,1,,CC,
162,2022,RK685_0,1,1,1,1,,1,1,1,1,1,1,1,CC,
162,2023,RK685_0,1,1,1,1,1,1,1,1,1,1,1,1,CC,
162,2024,RK685_0,1,1,1,1,1,1,1,1,1,1,1,1,CC,
163,2021,RK685_2,,,,,,,,,,,,,CC,
163,2022,RK685_2,,,,,,,,1,,,1,,CC,
163,2023,RK685_2,,,,,,,1,1,1,1,1,,CC,
163,2024,RK685_2,,,,,,,,,,,,,CC,
164,2021,RK685_3,1,1,1,1,,,,,,,1,,CC,
164,2022,RK685_3,1,1,1,,,1,1,1,1,1,1,,CC,
164,2023,RK685_3,,1,1,,,1,1,1,1,1,1,1,CC,
164,2024,RK685_3,1,1,1,1,1,1,1,1,1,1,1,,CC,
165,2021,RK685_4,1,1,,1,1,1,,,,1,1,1,CC,
165,2022,RK685_4,,,,,,,,,,,,,CC,
165,2023,RK685_4,,,,,,,,,,,,,CC,
165,2024,RK685_4,,,,,,,,,,,,,CC,
166,2021,RK686_0,1,1,1,1,1,1,1,1,1,1,1,1,CC,
166,2022,RK686_0,1,1,,1,1,1,1,1,1,1,1,1,CC,
166,2023,RK686_0,,,,,,,,,,,,,CC,
166,2024,RK686_0,,,,,,,,,,,,,CC,
167,2021,RK686_2,,,,,,,,,,,,,CC,
167,2022,RK686_2,1,1,1,1,1,1,1,1,1,1,1,1,CC,
167,2023,RK686_2,,,,,,,,,,,,,CC,
167,2024,RK686_2,,,,,,,,,,,,,CC,
168,2021,RK686_3,,,,,,,,,,,,,CC,
168,2022,RK686_3,,,,,,,,,,,,,CC,
168,2023,RK686_3,1,1,1,1,1,1,1,1,1,1,1,1,CC,
168,2024,RK686_3,,,,,,,,,,,,,CC,
169,2021,RK686_5,,,,,,,,,,,1,,CC,
169,2022,RK686_5,1,,,1,1,1,1,1,1,1,1,1,CC,
169,2023,RK686_5,,,,1,,,1,1,1,1,,1,CC,
169,2024,RK686_5,,,1,1,,1,1,1,1,1,1,1,CC,
170,2021,RK686_6,,,,,,,,,,,,,CC,
170,2022,RK686_6,,,,,,,,,,,,,CC,
170,2023,RK686_6,1,1,1,1,1,1,1,1,1,,,,CC,
170,2024,RK686_6,,,,,,,,,,,,,CC,
171,2021,RK686_7,1,1,1,1,1,1,1,1,1,1,1,1,CC,
171,2022,RK686_7,,,,,,,,,,,,,CC,
171,2023,RK686_7,,,,,,,,,,,,,CC,
171,2024,RK686_7,,,,,,,,,,,,,CC,
172,2021,RK686_8,,,,,,,,,,,,,CC,
172,2022,RK686_8,,,,1,1,1,1,1,1,1,1,,CC,
172,2023,RK686_8,1,1,1,,,1,1,1,1,1,1,1,CC,
172,2024,RK686_8,,,,1,,,,1,1,,,,CC,
173,2021,RK687_0,,,,,,,,,,,,,CC,
173,2022,RK687_0,,,,,,,,,,,,,CC,
173,2023,RK687_0,,,,,,,,,,,,,CC,
173,2024,RK687_0,1,1,1,1,1,1,1,1,1,1,1,,CC,
174,2021,RK687_1,,,,,,,,,,,,,CC,
174,2022,RK687_1,1,,1,1,1,,,,1,1,,,CC,
174,2023,RK687_1,,,,,,,,,,,,,CC,
174,2024,RK687_1,,,,,,,,,,,,,CC,
175,2021,RK687_3,1,1,1,1,1,1,,1,,1,1,1,CC,
175,2022,RK687_3,,,,,,,,,,,,,CC,
175,2023,RK687_3,,,,,,,,,,,,,CC,
175,2024,RK687_3,,,,,,,,,,,,,CC,
176,2021,RK687_4,,,,,,,,,,,,,CC,
176,2022,RK687_4,1,,,1,1,1,,1,1,1,1,1,CC,
176,2023,RK687_4,,,,,,,,,,,,,CC,
176,2024,RK687_4,,,,,,,,,,,,,CC,
177,2021,RK690_0,,,,,,,,,,,,,CC,
177,2022,RK690_0,,,,,,,,,,,,,CC,
177,2023,RK690_0,1,1,1,,1,1,1,1,1,1,1,1,CC,
177,2024,RK690_0,,,,,,,,,,,,,CC,
178,2021,RK690_1,,,,,,,,1,,,1,,CC,
178,2022,RK690_1,1,1,1,1,1,1,1,1,1,1,1,1,CC,
178,2023,RK690_1,,,,,,1,,,1,1,,,CC,
178,2024,RK690_1,,,,,,,,,,,,,CC,
179,2021,RK690_4,,,,1,,,,,1,1,1,1,CC,
179,2022,RK690_4,1,,1,1,1,1,1,1,1,,1,1,CC,
179,2023,RK690_4,,,,,1,,1,1,1,1,1,,CC,
179,2024,RK690_4,1,1,,,,,,,,,,,CC,
180,2021,RK690_5,,,,,,,,,,,,,CC,
180,2022,RK690_5,,,,,,,,,,,,,CC,
180,2023,RK690_5,,,,,,,,,,,,,CC,
180,2024,RK690_5,,1,1,,,,1,1,1,1,1,1,CC,
181,2021,RK690_6,1,1,1,1,1,1,1,1,1,1,1,1,CC,
181,2022,RK690_6,1,,1,1,1,1,1,1,1,1,1,1,CC,
181,2023,RK690_6,,,,,,,,,,,,,CC,
181,2024,RK690_6,,,,,,,,,,,,,CC,
182,2021,RK690_8,1,1,1,1,,1,1,1,1,1,1,1,CC,
182,2022,RK690_8,1,1,1,1,1,1,1,1,1,1,1,1,CC,
182,2023,RK690_8,,,1,,1,1,1,1,1,1,1,1,CC,
182,2024,RK690_8,1,1,1,,1,1,1,1,1,1,1,1,CC,
183,2021,RK691_0,,,,,,,,,,,,,CC,
183,2022,RK691_0,,,,,,,,,,,,,CC,
183,2023,RK691_0,,,,,,,,,,,,,CC,
183,2024,RK691_0,1,1,1,1,1,1,1,1,,1,,1,CC,
184,2021,RK691_1,1,1,1,1,1,1,1,1,,,1,1,CC,
184,2022,RK691_1,,,,,,,,,,,,,CC,
184,2023,RK691_1,,1,1,1,1,1,1,1,1,,1,,CC,
184,2024,RK691_1,,,,,,,,,,,,,CC,
185,2021,RK692_0,,,,,,,,,,,,,CC,
185,2022,RK692_0,1,,1,1,,1,1,,,1,,,CC,
185,2023,RK692_0,,,,,,,,,,,,,CC,
185,2024,RK692_0,,,,,,,,,,,,,CC,
186,2021,RK692_2,1,1,1,1,1,1,1,1,1,1,1,1,CC,
186,2022,RK692_2,1,1,1,1,1,1,1,1,1,1,1,1,CC,
186,2023,RK692_2,,1,1,1,,1,1,1,1,1,1,1,CC,
186,2024,RK692_2,1,,,1,1,1,1,,,,1,1,CC,
187,2021,RK692_3,1,1,1,1,1,1,1,,1,1,1,,CC,
187,2022,RK692_3,1,1,1,1,1,1,1,1,1,1,1,1,CC,
187,2023,RK692_3,,,,,,,,1,1,1,1,,CC,
187,2024,RK692_3,,,,,,,,,,,,,CC,
188,2021,RK693_0,,,,,,,,,,,,,CC,"Cluster has impurities, first and last are different song"
188,2022,RK693_0,,,,,,,,,,,,,CC,"Cluster has impurities, first and last are different song"
188,2023,RK693_0,,,,,,,,,,,,,CC,"Cluster has impurities, first and last are different song"
188,2024,RK693_0,1,,1,,,1,,1,,,,,CC,"Cluster has impurities, first and last are different song"
189,2021,RK693_1,,,,,,,,,,,,,CC,
189,2022,RK693_1,1,1,1,1,1,1,1,1,1,1,1,1,CC,
189,2023,RK693_1,,,,,,,,,,,,,CC,
189,2024,RK693_1,,,,,,,,,,,,,CC,
190,2021,RK693_2,,1,1,,,1,1,1,1,1,,1,CC,
190,2022,RK693_2,,,,,,,,,,,,,CC,
190,2023,RK693_2,,,,,,,,,,,,,CC,
190,2024,RK693_2,,,,,,,,,,,,,CC,
191,2021,RK693_3,,,,1,1,1,,,1,1,1,1,CC,
191,2022,RK693_3,1,,1,1,1,1,1,1,1,1,1,,CC,
191,2023,RK693_3,1,,,,,,,1,1,,,,CC,
191,2024,RK693_3,,,,,,,,,,,,,CC,
192,2021,RK693_4,,,,,,,,,,,,,SL,
192,2022,RK693_4,,1,1,1,1,1,1,1,1,1,1,1,SL,
192,2023,RK693_4,1,1,1,1,1,1,1,1,1,1,1,1,SL,
192,2024,RK693_4,1,1,1,1,,1,1,1,1,1,1,1,SL,
193,2021,RK693_6,,,,,,,,1,1,1,1,1,SL,
193,2022,RK693_6,,,,,,,,,,,,,SL,
193,2023,RK693_6,,,,,,,,,,,,,SL,
193,2024,RK693_6,,,,,,,,,,,,,SL,
194,2021,RK694_1,1,,1,1,1,1,1,1,1,1,1,1,SL,
194,2022,RK694_1,,,1,,,,,1,1,1,1,1,SL,
194,2023,RK694_1,,1,1,1,1,1,1,,1,1,1,1,SL,
194,2024,RK694_1,,,,,,,,,,,,,SL,
195,2021,RK694_2,,,,,,,,,,,,,SL,
195,2022,RK694_2,1,1,1,1,1,1,1,1,1,1,1,1,SL,
195,2023,RK694_2,1,1,1,1,1,1,1,1,1,1,1,1,SL,
195,2024,RK694_2,1,1,1,1,1,1,1,1,1,1,1,,SL,
196,2021,RK694_3,1,1,,,,1,1,,1,1,1,1,SL,
196,2022,RK694_3,,,,,,,,,,,,,SL,
196,2023,RK694_3,,,,,,,,,,,,,SL,
196,2024,RK694_3,,,,,,,,,,,,,SL,
197,2021,RK695_0,,,,,,,,,,,,,SL,
197,2022,RK695_0,1,1,,1,1,1,1,1,,,,,SL,
197,2023,RK695_0,,,,,,,,,,,,,SL,
197,2024,RK695_0,,,,,,,,,,,,,SL,
198,2021,RK695_1,,,,,,,,,,,,,SL,
198,2022,RK695_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
198,2023,RK695_1,1,1,1,1,1,1,,1,1,,1,,SL,
198,2024,RK695_1,,,1,1,1,,1,,,1,1,1,SL,
199,2021,RK695_2,,,,,,,,,,,,,SL,
199,2022,RK695_2,,,,,,,,,,,,,SL,
199,2023,RK695_2,,,,,,,,,,,,,SL,
199,2024,RK695_2,,,,,1,,,,,,1,,SL,
200,2021,RK695_3,1,,,,1,,,,,,,,SL,
200,2022,RK695_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
200,2023,RK695_3,,,,,,,,,,,1,,SL,
200,2024,RK695_3,,1,,,1,,,,,,,,SL,
201,2021,RK695_4,,,,,,,,,,,,,SL,
201,2022,RK695_4,1,1,1,1,1,1,1,1,1,1,1,1,SL,
201,2023,RK695_4,1,1,1,1,1,1,1,1,1,1,1,1,SL,
201,2024,RK695_4,,1,1,,1,1,1,1,1,1,1,,SL,
202,2021,RK695_7,1,1,1,1,1,1,1,,,,,1,SL,
202,2022,RK695_7,,,,,,,,,,,,,SL,
202,2023,RK695_7,,,,,,,,,,,,,SL,
202,2024,RK695_7,,,,,,,,,,,,,SL,
203,2021,RK696_0,,,,,,1,1,,1,1,1,1,SL,
203,2022,RK696_0,1,,,,,,,,,,,,SL,
203,2023,RK696_0,,,,,,,,,,,,,SL,
203,2024,RK696_0,,,,,,,,,,,,,SL,
204,2021,RK696_1,,,,,,,,,,,1,1,SL,
204,2022,RK696_1,,,1,1,1,1,1,1,1,,,,SL,
204,2023,RK696_1,1,,,,,1,1,,1,,,1,SL,
204,2024,RK696_1,,,,,,,,,,,,,SL,
205,2021,RK696_2,,,,,,,,,,,,,SL,
205,2022,RK696_2,,,,,,,,1,1,1,1,,SL,
205,2023,RK696_2,,,,,,,,,,,,,SL,
205,2024,RK696_2,,,,,,,,,,,,,SL,
206,2021,RK696_4,,,,,,,,,,,,,SL,
206,2022,RK696_4,,,1,,,1,1,1,1,1,,,SL,
206,2023,RK696_4,,,,,,,,,,,,1,SL,
206,2024,RK696_4,,,,1,,,,,,,,,SL,
207,2021,RK696_5,,,,,,,,,,,,,SL,
207,2022,RK696_5,,,,,,,,,,,,,SL,
207,2023,RK696_5,,,,,,,,,,,,,SL,
207,2024,RK696_5,1,,,1,1,1,1,1,1,1,1,1,SL,
208,2021,RK701_0,,1,1,1,1,1,1,1,1,1,1,1,SL,
208,2022,RK701_0,,,,,,,,,,,,,SL,
208,2023,RK701_0,,,,,,,,,,,,,SL,
208,2024,RK701_0,,,,,,,,,,,,,SL,
209,2021,RK701_1,,,,,,,,,,,,,SL,
209,2022,RK701_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
209,2023,RK701_1,1,,1,1,,1,1,1,1,,1,,SL,
209,2024,RK701_1,,,,,,,,,,,,,SL,
210,2021,RK702_0,,,,1,1,1,1,,,1,1,,SL,
210,2022,RK702_0,1,,1,,1,1,1,1,1,1,1,1,SL,
210,2023,RK702_0,1,1,1,1,1,1,1,,,,,1,SL,
210,2024,RK702_0,,1,,,1,1,1,1,,1,1,,SL,
211,2021,RK728_0,,1,,1,1,1,1,1,1,1,1,1,SL,
211,2022,RK728_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
211,2023,RK728_0,,,,,,,,,,,,,SL,
211,2024,RK728_0,,,,,,,,,,,,,SL,
212,2021,RK728_1,,,,,,1,1,1,1,1,1,1,SL,
212,2022,RK728_1,,1,,,,,,,,,,,SL,
212,2023,RK728_1,1,1,1,1,1,1,1,1,1,1,1,,SL,
212,2024,RK728_1,,1,1,1,1,1,1,,,,,,SL,
213,2021,RK729_0,,,,,,,,,,,,,SL,
213,2022,RK729_0,,,,,,,,,,,,,SL,
213,2023,RK729_0,,,,,,1,,,,,1,1,SL,
213,2024,RK729_0,,1,1,,,1,,,,1,1,1,SL,
214,2021,RK729_1,,,,,,,,,,,,,SL,
214,2022,RK729_1,,,,,,,,,,,,,SL,
214,2023,RK729_1,1,1,1,1,1,1,1,1,,1,1,1,SL,
214,2024,RK729_1,,1,1,,1,,1,,1,1,,,SL,
215,2021,RK729_3,,1,1,1,1,1,1,1,,,1,,SL,evidence of two birds with similar songs (songs overlapping on 5/26)
215,2022,RK729_3,,,,,,,,,,,,,SL,
215,2023,RK729_3,,,,,,,,,,,,,SL,
215,2024,RK729_3,,,,,,,,,,,,,SL,
216,2021,RK729_4,1,1,1,1,1,1,1,1,,,,,SL,
216,2022,RK729_4,1,1,1,1,1,1,1,,,1,1,1,SL,
216,2023,RK729_4,,,,,,,,,,,,,SL,
216,2024,RK729_4,,,,,,,,,,,,,SL,
217,2021,RK729_5,,,,,,,,,,,,,SL,
217,2022,RK729_5,1,1,1,1,1,1,1,1,1,1,1,1,SL,
217,2023,RK729_5,,,,,,,,,,,,,SL,
217,2024,RK729_5,,,,,,,,,,,,,SL,
218,2021,RK730_0,,,,,,,,,,,,,SL,
