,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
22,2021,RK062_0,1,1,1,1,1,,1,1,1,1,1,1,SL,
22,2022,RK062_0,1,,1,1,,1,1,1,1,1,1,1,SL,
22,2023,RK062_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
22,2024,RK062_0,1,1,1,1,1,1,1,1,,,,,SL,
23,2021,RK062_1,,,,,,,,,,,,,SL,
23,2022,RK062_1,1,,1,,1,1,1,1,1,1,1,1,SL,
23,2023,RK062_1,,,,,,1,,,,,1,,SL,
23,2024,RK062_1,,,,,,,,,,,,,SL,
24,2021,RK062_2,1,1,1,1,1,1,1,,,1,1,1,SL,
24,2022,RK062_2,,,1,1,1,1,,,1,,1,1,SL,
24,2023,RK062_2,,1,,,,,,1,,,,1,SL,
24,2024,RK062_2,,1,1,1,1,1,1,1,1,1,1,1,SL,
25,2021,RK062_4,,,,,,,,,,,,,SL,
25,2022,RK062_4,,,,,,1,1,1,1,,,,SL,
25,2023,RK062_4,,,,,,,,,,,,,SL,
25,2024,RK062_4,,,,,,,,,,,,,SL,
26,2021,RK062_5,,,,,,,,,,,,,SL,
26,2022,RK062_5,1,1,1,1,,,,,,,,,SL,
26,2023,RK062_5,,,,,,,,,,,,,SL,
26,2024,RK062_5,,,,,,,,,,,,,SL,
27,2021,RK063_0,,,,,,,,,,,,,SL,
27,2022,RK063_0,,,1,,,1,1,1,1,1,1,1,SL,
27,2023,RK063_0,,,,,,,,,,,,,SL,
27,2024,RK063_0,,,,,,,,,,,,,SL,
28,2021,RK063_1,,,,,,,,,,,,,SL,
28,2022,RK063_1,1,,,,,,1,,1,1,,1,SL,
28,2023,RK063_1,,,,,,,,,,,,,SL,
28,2024,RK063_1,,,,,,,,,,,,,SL,
29,2021,RK063_2,,,,,,1,1,,,1,1,1,SL,
29,2022,RK063_2,1,,,1,,,,1,1,1,1,1,SL,
29,2023,RK063_2,,,,,,,1,,,,,,SL,
29,2024,RK063_2,,,,,,,,,,,,,SL,
