data.max_points,Accuracy,ARI,NMI,FMI,V-Measure
8,0.33 (0.30-0.36),0.20 (0.16-0.26),0.53 (0.50-0.55),0.22 (0.17-0.29),0.53 (0.50-0.55)
16,0.70 (0.64-0.78),0.76 (0.74-0.81),0.80 (0.77-0.83),0.69 (0.63-0.73),0.80 (0.77-0.83)
32,0.79 (0.72-0.85),0.88 (0.83-0.91),0.88 (0.85-0.90),0.83 (0.76-0.89),0.88 (0.85-0.90)
64,0.90 (0.89-0.93),0.94 (0.93-0.95),0.94 (0.93-0.95),0.93 (0.92-0.94),0.94 (0.93-0.95)
128,0.90 (0.89-0.91),0.94 (0.93-0.95),0.94 (0.94-0.95),0.93 (0.92-0.94),0.94 (0.94-0.95)
234,0.91 (0.87-0.94),0.94 (0.92-0.96),0.95 (0.93-0.97),0.94 (0.92-0.96),0.95 (0.93-0.97)
