n_points,n_clusters,clustered_fraction,allow_single,per_point_clusters,purity
1,3,0.9,False,8,1.0
1,3,0.985,False,4,1.0
1,2,0.605,False,12,1.0
1,4,0.755,False,7,1.0
1,3,0.895,False,4,1.0
1,2,1.0,False,2,1.0
1,3,0.81,False,8,1.0
1,2,0.835,False,5,1.0
1,2,0.9,False,2,1.0
1,2,0.87,False,5,1.0
1,0,0.0,False,1,
1,2,0.88,False,5,1.0
1,2,0.97,False,2,1.0
1,2,0.9426229508196722,False,2,1.0
1,2,0.935,False,3,1.0
1,4,0.925,False,7,1.0
1,3,0.78,False,6,1.0
1,2,0.9,False,3,1.0
1,3,0.955,False,4,1.0
1,2,0.955,False,3,1.0
2,3,0.67,False,15,0.7985074626865671
2,4,0.8875,False,11,0.9887323943661972
2,4,0.825,False,11,1.0
2,2,0.965,False,11,0.9248704663212435
2,5,0.8225,False,18,0.9969604863221885
2,2,0.9275,False,6,1.0
2,3,0.805,False,15,1.0
2,3,0.75,False,18,0.9966666666666667
2,3,0.83,False,9,0.9789156626506024
2,2,0.9475,False,4,0.9973614775725593
2,4,0.89,False,16,0.8117977528089888
2,2,0.915,False,5,1.0
2,5,0.745,False,11,1.0
2,6,0.905982905982906,False,6,0.9371069182389937
2,6,0.885,False,10,0.943502824858757
2,2,0.95,False,7,0.9315789473684211
2,3,0.8525,False,11,0.9970674486803519
2,2,0.9425,False,6,0.9442970822281167
2,3,0.865,False,6,0.9826589595375722
2,6,0.9725,False,8,0.9948586118251928
4,7,0.88875,False,12,0.9437412095639943
4,9,0.87,False,16,0.9942528735632183
4,5,0.81375,False,31,0.9938556067588326
4,5,0.86375,False,13,0.9479015918958031
4,8,0.85125,False,19,0.9955947136563876
4,3,0.935,False,8,0.9919786096256684
4,8,0.83375,False,25,0.8785607196401799
4,6,0.90625,False,22,0.9420689655172414
4,7,0.91125,False,12,0.9629629629629629
4,8,0.81125,False,27,0.9445300462249615
4,6,0.8475,False,18,1.0
4,8,0.88875,False,17,0.8959212376933896
4,9,0.83125,False,20,0.9503759398496241
4,6,0.88,False,18,0.9573863636363636
4,6,0.87875,False,19,0.972972972972973
4,4,0.9375,False,19,0.9613333333333334
4,8,0.8625,False,24,0.9942028985507246
4,6,0.85875,False,13,0.9898107714701602
