Name,ari (Max),accuracy,State,Notes,User,Tags,Created,Runtime,Sweep,clustering.min_cluster_size,clustering.reduced_n_dimensions,clustering.reduction_algorithm,data.max_points,data.n_train_samples,name,paths.background_clips_path,paths.labeled_clips_path,paths.save_dir,paths.train_clips_path,preprocessing.clip_duration,preprocessing.high_contrast,preprocessing.overlay,preprocessing.reduce_noise,preprocessing.use_overlay,repeats,results.best_epoch,results.metrics.accuracy,results.metrics.ari,results.metrics.completeness,results.metrics.fmi,results.metrics.homogeneity,results.metrics.nmi,results.metrics.purity,results.metrics.train_loss,results.metrics.v_measure,results.train_time_hrs,strategy,training.arcface_loss_subcenters,training.backbone,training.batch_size,training.clustering_interval_epochs,training.device,training.loss_fn,training.n_clip_replicates,training.n_points_per_batch,training.num_epochs,training.num_workers,save_checkpoints,training.contrastive_loss.different_location_weight,training.contrastive_loss.pseudo_label_weight,training.contrastive_loss.same_clip_weight,training.contrastive_loss.same_location_weight,completeness,fmi,homogeneity,nmi,purity,train_loss,v_measure
Training Experiment,0.9073534003364492,0.8514056224899599,finished,-,,,2025-04-07T15:38:38.000Z,302,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,9,0.9244,0.9453,0.9547,0.9486,0.9573,0.956,0.9631,0.0064,0.956,0.3407338633139928,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8975098117230755,0.8999866880633832,0.9547152928598308,0.925229164,0.9477911646586346,0.005670589,0.925229164
Training Experiment,0.944329862,0.905439942,finished,-,,,2025-04-07T15:41:26.000Z,291,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9376341393211144,0.9377259173067244,0.9542444408502752,0.945866373,0.9623950346841912,0.009605228,0.9458663725845978
Training Experiment,0.9251356242342044,0.9021540708287696,finished,-,,,2025-04-07T15:41:32.000Z,278,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,9,0.8361,0.8696,0.8759,0.8782,0.9509,0.9119,0.9547,0.0088,0.9119,0.32004850692219206,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9193672192275264,0.9294421575576574,0.957742808,0.9381627386410571,0.9645856151880248,0.00724965,0.9381627386410571
Training Experiment,0.9412214188873836,0.8941219423147134,finished,-,,,2025-04-07T15:42:15.000Z,288,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,7,0.8832,0.9231,0.9118,0.9275,0.9501,0.9305,0.9566,0.0088,0.9305,0.3250804710388184,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9254380276222904,0.9295309530833727,0.9640222943857204,0.9443362004576178,0.958744067,0.006373341,0.9443362
Training Experiment,0.9013738011611044,0.8112449799196787,finished,-,,,2025-04-07T15:43:58.000Z,310,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8705736842296549,0.8679144508821006,0.939419595,0.903687309,0.945235487,0.008801923,0.9036873087625908
Training Experiment,0.933356579,0.8707557502738226,finished,-,,,2025-04-07T15:46:17.000Z,278,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.9281,0.9443,0.9499,0.9475,0.9574,0.9536,0.9639,0.0077,0.9536,0.080933514,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9073369048389544,0.9176122013605847,0.9529958101709612,0.9296060449277244,0.9525374224169404,0.010493607260286808,0.9296060449277246
Training Experiment,0.910579928,0.8086893026652063,finished,-,,,2025-04-07T15:47:20.000Z,301,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8620684932546262,0.8712871211813492,0.9515363661088538,0.9045956368867898,0.9569185834246076,0.009911491,0.9045956368867896
Training Experiment,0.9301594716548924,0.8601679445052939,finished,-,,,2025-04-07T15:49:08.000Z,283,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8711,0.9014,0.9048,0.9072,0.9485,0.9261,0.9511,0.0089,0.9261,0.086168368,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8918667763240573,0.906804856,0.9625195238683456,0.9258472032632684,0.9689667761956918,0.007554492,0.9258472032632684
Training Experiment,0.9448591482167475,0.918218328,finished,-,,,2025-04-07T15:50:55.000Z,279,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,7,0.8938,0.9334,0.9329,0.9371,0.9573,0.9449,0.9558,0.0076,0.9449,0.15809584094418422,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.927503368,0.935422632,0.9692778308842886,0.9479305815536964,0.9733479372033588,0.010729154571890833,0.9479305815536964
Training Experiment,0.9383590932903294,0.8897407813070464,finished,-,,,2025-04-07T15:52:21.000Z,288,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8675,0.9106,0.9098,0.916,0.9568,0.9327,0.9569,0.0108,0.9327,0.083778618,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9146571936162744,0.9387411473090622,0.9697624540521976,0.941404114,0.9784592917123036,0.007213729,0.941404114
