file,datetime,date,time,point_code,start_time,dataset,year,full_file,full_file_offset,annotation,hawkears_OVEN_score
random_45656_RK921_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK921,0,appl2021e,2021,random_45656_RK921_2021.mp3,1981.1009072230904,no,-7.5512695
random_32658_RK760_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK760,0,appl2021e,2021,random_32658_RK760_2021.mp3,2566.946521737624,no,-6.3532662
random_2345_RK945_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK945,0,appl2021e,2021,random_2345_RK945_2021.mp3,5366.658104733536,no,-7.5485315
random_11524_RK747_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK747,0,appl2021e,2021,random_11524_RK747_2021.mp3,2035.1483464964087,no,-4.3128166
random_48821_RK661_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK661,0,appl2021e,2021,random_48821_RK661_2021.mp3,5395.752375832078,yes,1.8496361
random_46954_RK905_2021.mp3,2021-05-15 10:00:00+00:00,2021-05-15,10:00:00,RK905,0,appl2021e,2021,random_46954_RK905_2021.mp3,4259.981105867969,yes,-1.0650997
random_24103_RK990_2021.mp3,2021-05-16 10:00:00+00:00,2021-05-16,10:00:00,RK990,0,appl2021e,2021,random_24103_RK990_2021.mp3,4939.874852047461,no,-7.6129045
random_24154_RK990_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK990,0,appl2021e,2021,random_24154_RK990_2021.mp3,5062.825841723578,yes,1.8376487
random_28602_RK736_2021.mp3,2021-05-24 10:00:00+00:00,2021-05-24,10:00:00,RK736,0,appl2021e,2021,random_28602_RK736_2021.mp3,1214.7502615513172,no,-5.445337
random_21826_RK902_2021.mp3,2021-05-15 10:00:00+00:00,2021-05-15,10:00:00,RK902,0,appl2021e,2021,random_21826_RK902_2021.mp3,2636.61652719854,no,-1.9582329
random_10559_RK976_2021.mp3,2021-05-17 10:00:00+00:00,2021-05-17,10:00:00,RK976,0,appl2021e,2021,random_10559_RK976_2021.mp3,1741.1075076777925,yes,-0.31765166
random_24339_RK958_2021.mp3,2021-05-15 10:00:00+00:00,2021-05-15,10:00:00,RK958,0,appl2021e,2021,random_24339_RK958_2021.mp3,2493.0901983815693,no,-8.020318
random_1429_RK749_2021.mp3,2021-05-16 10:00:00+00:00,2021-05-16,10:00:00,RK749,0,appl2021e,2021,random_1429_RK749_2021.mp3,2965.1853991321746,no,-7.438276
random_42483_RK935_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK935,0,appl2021e,2021,random_42483_RK935_2021.mp3,3378.0134309495447,no,-8.164092
random_21832_RK902_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK902,0,appl2021e,2021,random_21832_RK902_2021.mp3,5366.224721801307,no,-2.200875
random_25681_RK944_2021.mp3,2021-05-17 10:00:00+00:00,2021-05-17,10:00:00,RK944,0,appl2021e,2021,random_25681_RK944_2021.mp3,1399.9733819278997,no,-7.1978807
random_28878_RK690_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK690,0,appl2021e,2021,random_28878_RK690_2021.mp3,2068.051922491656,yes,1.9758221
random_26332_RK686_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK686,0,appl2021e,2021,random_26332_RK686_2021.mp3,313.6724553918384,yes,1.3111905
random_9919_RK685_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK685,0,appl2021e,2021,random_9919_RK685_2021.mp3,299.9045739465212,no,-7.2575173
random_48185_RK600_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK600,0,appl2021e,2021,random_48185_RK600_2021.mp3,1742.8614238050488,no,-7.478112
