"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi_year[1]",0.718271243391321,0.0432779579027382,0.628257581283802,0.689818421622961,0.720030528428022,0.747965681292648,0.801715289656033,1.00002184058591,3000,0,1
"phi_year[2]",0.696968571419219,0.0409896654663507,0.614703581457199,0.669789957129714,0.698071501999732,0.725405907874794,0.77399594568902,0.999906555451281,3000,0,1
"phi_year[3]",0.678460013863541,0.0455593877468223,0.587080618407868,0.647496261166019,0.678428959758675,0.710462642390303,0.766308739977341,1.00191539981074,842,0,1
"p_intercept",0.891314171332052,0.0223363863466128,0.844844822535161,0.876655943353443,0.892497616612076,0.907305846573553,0.93082414655228,1.00017296800202,3000,0,1
"sd.lphi.site",0.168293351537419,0.121730430202423,0.00898917622290958,0.0697578264037501,0.142448602548973,0.24253866933842,0.45232766032502,1.04621219932369,49,0,1
"phi_ohiopyle_2021",0.718271243391321,0.0432779579027382,0.628257581283802,0.689818421622961,0.720030528428022,0.747965681292648,0.801715289656033,1.00002184058591,3000,0,1
"phi_sgl034_2021",0.718840520145476,0.0376379064811043,0.646796367918843,0.693262190433221,0.719410791135869,0.745611785500137,0.789818677345584,1.00009227612227,3000,0,1
"deviance",704.048891006837,5.84497074892527,689.739343833508,701.377343241327,704.695376563947,707.544808127332,714.600243271967,1.01093975589953,251,0,1
