"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi_intercept",0.697911372841351,0.019868733523222,0.657471940722176,0.685099718226923,0.698158850980282,0.711085007368091,0.737259875956793,1.00029720479149,3000,0,1
"p_intercept",0.890692931768156,0.0223761967901255,0.843955745609209,0.876380936660775,0.891683770753148,0.906485676619257,0.931844077395318,1.00111439527708,1306,0,1
"deviance",704.674106337215,2.03087671873362,702.716625470437,703.211542643771,704.018802171054,705.423702218842,710.318598503538,1.00138009010323,3000,0,1
