"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi_intercept",0.611737077793398,0.0234592241624086,0.566728008182707,0.596153867351449,0.611469526308713,0.627458729593278,0.657914040815836,1.00140257098946,1515,0,1
"p_intercept",0.856577169216014,0.0301723512287873,0.794063025465949,0.835816755979506,0.85824891439916,0.877734208540088,0.910752482128266,1.00220600519868,866,0,1
"deviance",635.646917751096,1.94443400086565,633.759313178763,634.289752167169,635.040975998696,636.36485160941,640.941111780033,1.00487627898612,1267,0,1
