"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi_intercept",0.61074347586786,0.0242461614766922,0.564746630592246,0.594112062146208,0.610393512573211,0.627013461299796,0.659075693778521,1.0030846503495,570,0,1
"p_intercept",0.856346736843816,0.031106540462946,0.789676799360223,0.836617398452501,0.857522257097419,0.877777353011918,0.914567541190562,1.00146947057748,2375,0,1
"deviance",635.760430208045,2.12202532438942,633.770297134328,634.310581652282,635.112967954294,636.516004920216,641.346422110448,1.00198459429295,3000,0,1
