"","Block","year","estimate","lower","upper"
"1","SGL034","2021",1.93564595279474,1.62986326171588,2.29879729335466
"2","SGL034","2022",2.37603101083795,2.02347151587412,2.79001869815045
"3","SGL034","2023",2.15071772532746,1.82188642646719,2.53889960803276
"4","SGL034","2024",1.91516292683923,1.61159880568848,2.27590702065116
"5","Ohiopyle","2021",1.0425808738876,0.867010888561057,1.25370383802242
"6","Ohiopyle","2022",1.27978181344931,1.07551675629156,1.52284144384971
"7","Ohiopyle","2023",1.15842319320843,0.968751609279312,1.38523051906105
"8","Ohiopyle","2024",1.03154827204751,0.85733147962606,1.24116734641347
