"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi_intercept",0.698501495229456,0.020168451687773,0.657653761410204,0.684872325982513,0.698459956403886,0.712132101952415,0.738398992613164,1.00037603625847,3000,0,1
"p_intercept",0.890738717014156,0.0217133443319243,0.846400555630555,0.876464834243807,0.891983442240683,0.905966100278462,0.930851208666808,1.00143281837164,1195,0,1
"deviance",704.652953710349,1.93829996228122,702.71757296015,703.238015796767,704.046485803066,705.442764259187,709.75158487385,1.00089194176815,1595,0,1
