cluster_30,2021,2022,2023,2024
RK001_0,1,1,0,0
RK001_1,0,0,1,1
RK004_4,1,0,0,0
RK004_5,0,1,1,1
RK007_0,1,1,0,0
RK007_1,0,0,0,1
RK007_4,0,0,1,0
RK010_1,1,0,0,0
RK010_4,0,1,0,0
RK010_6,0,0,1,1
RK016_0,0,1,1,0
RK016_1,1,0,0,0
RK016_2,0,0,0,1
RK062_2,1,1,1,1
RK063_2,1,1,1,1
RK065_0,0,0,0,1
RK065_1,1,0,0,0
RK065_2,0,1,1,0
RK1000_0,1,0,1,1
RK1003_0,1,0,0,0
RK1003_3,0,1,1,0
RK1003_4,0,0,0,1
RK1009_0,0,0,1,0
RK1010_0,0,1,0,0
RK1010_2,1,0,0,0
RK1010_3,0,0,1,0
RK1010_5,0,0,0,1
RK1013_1,0,0,1,0
RK1013_2,0,1,0,0
RK1013_3,0,0,0,1
RK1013_4,1,0,0,0
RK1015_0,1,0,0,0
RK1015_1,0,1,1,1
RK1018_0,1,1,1,0
RK1018_1,0,0,0,1
RK1021_0,0,0,1,1
RK1021_1,0,1,0,0
RK1021_2,1,0,0,0
RK1022_0,0,0,0,1
RK1022_1,1,1,1,0
RK1024_0,0,1,1,0
RK1026_0,0,0,1,0
RK1026_1,1,0,0,0
RK1026_2,0,1,0,1
RK1029_0,1,1,0,0
RK1029_1,0,0,1,1
RK1031_0,1,1,1,0
RK1031_3,0,0,0,1
RK1033_1,1,1,0,0
RK1033_2,0,0,0,1
RK1036_0,1,0,0,1
RK1036_1,0,1,0,0
RK1040_0,0,0,0,1
RK1040_1,0,1,0,0
RK1040_2,0,0,1,0
RK1040_3,1,0,0,0
RK1042_0,0,0,0,1
RK1042_1,0,0,1,0
RK1042_3,0,1,0,0
RK1044_0,0,0,1,0
RK1048_0,0,0,1,0
RK1049_0,1,1,0,0
RK1049_1,0,0,0,1
RK1049_2,0,0,1,0
RK1050_0,0,0,0,1
RK1051_0,1,0,0,1
RK1051_1,0,1,1,0
RK1054_0,0,1,0,0
RK1054_1,1,0,1,0
RK1059_0,1,1,0,0
RK1059_1,0,0,1,0
RK1059_3,0,0,0,1
RK600_0,1,0,0,0
RK600_1,0,1,1,1
RK601_0,0,0,0,1
RK601_2,1,1,1,0
RK602_1,0,0,1,1
RK602_2,1,1,0,0
RK603_1,1,0,0,0
RK603_3,0,0,1,0
RK603_4,0,1,0,0
RK603_5,0,0,0,1
RK604_0,0,0,1,1
RK604_1,0,1,0,0
RK604_3,1,0,0,0
RK606_1,1,1,0,0
RK606_6,0,0,0,1
RK606_7,0,0,1,0
RK607_5,1,0,0,0
RK607_7,0,0,1,1
RK607_8,0,1,0,0
RK609_0,1,0,0,1
RK609_1,0,0,1,0
RK609_3,0,1,0,0
RK610_0,0,0,0,1
RK610_1,1,1,0,0
RK611_0,1,0,0,0
RK611_11,0,0,1,1
RK611_2,0,1,0,0
RK614_3,1,1,1,0
RK614_4,0,0,0,1
RK615_1,1,0,0,0
RK615_11,0,0,1,0
RK615_7,0,0,0,1
RK615_8,0,1,0,0
RK616_1,1,0,0,0
RK616_3,0,0,0,1
RK616_4,0,0,1,0
RK616_5,0,1,0,0
RK621_0,0,0,1,0
RK621_1,0,0,0,1
RK621_2,1,0,0,0
RK621_5,0,1,0,0
RK622_0,1,1,0,0
RK661_2,1,1,0,0
RK661_4,0,0,1,0
RK661_5,0,0,0,1
RK683_0,1,0,1,0
RK683_1,0,1,0,0
RK683_3,0,0,0,1
RK684_0,1,0,0,0
RK684_1,0,0,0,1
RK684_3,0,1,1,0
RK685_0,0,1,1,1
RK685_4,1,0,0,0
RK686_0,1,0,0,0
RK686_2,0,1,0,0
RK686_5,0,0,0,1
