cluster_30,2021,2022,2023,2024
RK893_6,0,1,0,0
RK895_0,0,1,1,1
RK902_1,1,1,0,0
RK902_2,0,0,0,1
RK902_4,0,0,1,0
RK906_0,0,0,1,1
RK906_1,1,1,0,0
RK908_0,0,0,0,1
RK908_1,0,1,0,0
RK908_3,0,0,1,0
RK908_4,1,0,0,0
RK910_0,1,0,0,0
RK910_2,0,0,1,1
RK910_4,0,1,0,0
RK913_1,1,0,0,0
RK913_2,0,0,0,1
RK913_3,0,1,0,0
RK913_5,0,0,1,0
RK917_0,1,1,1,1
RK920_0,0,1,0,0
RK920_2,0,0,1,0
RK920_3,0,0,0,1
RK920_7,1,0,0,0
RK921_0,0,1,1,0
RK921_2,0,0,0,1
RK921_4,1,0,0,0
RK923_0,1,0,0,0
RK924_0,1,0,0,0
RK924_4,0,0,1,0
RK924_5,0,0,0,1
RK924_6,0,1,0,0
RK929_0,0,0,0,1
RK929_1,1,0,0,0
RK929_2,0,1,0,0
RK929_3,0,0,1,0
RK931_0,1,0,0,0
RK931_1,0,0,1,0
RK931_2,0,1,0,0
RK931_3,0,0,0,1
RK934_0,1,0,0,0
RK935_0,0,1,1,0
RK935_1,1,0,0,0
RK935_2,0,0,0,1
RK936_0,1,0,0,0
RK936_1,0,0,1,0
RK936_2,0,1,0,0
RK943_0,1,1,0,0
RK943_1,0,0,0,1
RK944_1,1,0,0,0
RK944_2,0,0,0,1
RK944_3,0,1,1,0
RK949_0,1,1,0,1
RK949_1,0,0,1,0
RK954_0,1,0,0,0
RK955_0,1,1,0,1
RK955_1,0,0,1,0
RK958_0,0,1,0,0
RK958_3,0,0,1,0
RK958_5,0,0,0,1
RK958_7,1,0,0,0
RK961_1,1,1,1,1
RK962_1,0,0,0,1
RK962_2,1,1,1,0
RK964_1,1,0,0,0
RK964_2,0,0,1,0
RK964_3,0,0,0,1
RK964_4,0,1,0,0
RK966_0,0,0,1,0
RK966_1,1,1,0,1
RK974_0,1,0,0,1
RK974_1,0,1,1,0
RK976_0,0,0,0,1
RK976_3,1,0,0,0
RK976_4,0,1,1,0
RK983_0,1,0,0,0
RK983_1,0,0,0,1
RK983_2,0,1,1,0
RK984_0,1,1,0,1
RK984_1,0,0,1,0
RK986_0,0,0,0,1
RK986_1,1,0,0,0
RK986_3,0,0,1,0
RK986_4,0,1,0,0
RK990_0,1,1,1,0
RK990_2,0,0,0,1
